risk_id,report_month,review_date,status,residual_probability,residual_impact,residual_score,inherent_score,days_open
R001,2026-01,2026-01-31,Open,5,4,20,12,140
R001,2026-02,2026-02-28,Open,5,4,20,12,168
R001,2026-03,2026-03-31,Open,4,4,16,12,199
R001,2026-04,2026-04-30,Open,3,3,9,12,229
R001,2026-05,2026-05-31,Open,3,2,6,12,260
R001,2026-06,2026-06-30,Open,4,3,12,12,290
R002,2026-01,2026-01-31,Open,4,5,20,20,100
R002,2026-02,2026-02-28,Open,3,4,12,20,128
R002,2026-03,2026-03-31,Open,3,4,12,20,159
R002,2026-04,2026-04-30,Open,2,4,8,20,189
R002,2026-05,2026-05-31,Open,2,3,6,20,220
R002,2026-06,2026-06-30,Open,2,3,6,20,250
R003,2026-04,2026-04-30,Open,1,2,2,2,25
R003,2026-05,2026-05-31,Open,1,2,2,2,56
R003,2026-06,2026-06-30,Open,2,3,6,2,86
R004,2026-05,2026-05-31,Open,4,5,20,16,14
R004,2026-06,2026-06-30,Open,5,5,25,16,44
R005,2026-01,2026-01-31,Open,2,3,6,9,40
R005,2026-02,2026-02-28,Open,1,2,2,9,68
R005,2026-03,2026-03-31,Closed,1,2,2,9,99
R005,2026-04,2026-04-30,Closed,1,2,2,9,129
R005,2026-05,2026-05-31,Closed,1,2,2,9,160
R005,2026-06,2026-06-30,Closed,1,2,2,9,190
R006,2026-01,2026-01-31,Open,3,2,6,12,71
R006,2026-02,2026-02-28,Open,2,2,4,12,99
R006,2026-03,2026-03-31,Open,2,2,4,12,130
R006,2026-04,2026-04-30,Open,1,1,1,12,160
R006,2026-05,2026-05-31,Open,1,1,1,12,191
R006,2026-06,2026-06-30,Open,1,1,1,12,221
R007,2026-01,2026-01-31,Open,5,3,15,15,42
R007,2026-02,2026-02-28,Open,5,3,15,15,70
R007,2026-03,2026-03-31,Open,4,2,8,15,101
R007,2026-04,2026-04-30,Open,3,2,6,15,131
R007,2026-05,2026-05-31,Open,2,1,2,15,162
R007,2026-06,2026-06-30,Open,2,1,2,15,192
R008,2026-03,2026-03-31,Open,2,5,10,10,17
R008,2026-04,2026-04-30,Open,2,5,10,10,47
R008,2026-05,2026-05-31,Open,2,5,10,10,78
R008,2026-06,2026-06-30,Open,2,5,10,10,108
R009,2026-01,2026-01-31,Open,4,4,16,16,130
R009,2026-02,2026-02-28,Open,4,4,16,16,158
R009,2026-03,2026-03-31,Open,4,3,12,16,189
R009,2026-04,2026-04-30,Open,3,3,9,16,219
